Indices Name,Filename,Methodology,No. of Constituents,Launch Date,Base Date,Base Value,Calculation Frequency,Index Rebalancing,Price Returns QTD,Price Returns YTD,Price Returns 1 year,Price Returns 5 years,Price Returns Since Inception,Total Returns QTD,Total Returns YTD,Total Returns 1 year,Total Returns 5 years,Total Returns Since Inception,Standard Deviation 1 year,Standard Deviation 5 year,Standard Deviation Since Inception,Beta (Nifty 50) 1 year,Beta (Nifty 50) 5 years,Beta (Nifty 50) Since Inception,P/E,P/B,Dividend Yield
Nifty Total Market,NiftyTotalMarket.pdf,Free Float Market Capitalization,752,"October 13, 2021","April 01, 2005",1000,Real-Time,Semi - Annually,4.75,6.02,6.02,16.03,13.31,4.88,7.06,7.06,17.20,14.80,13.43,14.40,20.24,1.07,0.99,0.95,24.55,3.67,1.14
Nifty Total Market Momentum Quality 50,NiftyTotalMarketMomentumQuality50.pdf,Tilt Weighted,50,"August 06, 2025","April 01, 2005",1000,Real-Time,Semi - Annually,-0.76,-8.22,-8.22,18.69,19.66,-0.69,-7.68,-7.68,19.63,21.08,18.79,18.16,19.33,1.18,0.97,0.78,32.63,7.52,1.02
Nifty MidSmallcap 400,ind_Nifty_MidSmallcap_400.pdf,Free Float Market Capitalization,400,"April 01, 2016","April 01, 2005",1000,Real-Time,Semi-Annually,3.77,1.20,1.20,22.85,15.58,3.87,1.78,1.78,23.75,16.93,17.56,16.91,20.85,1.16,0.94,0.83,32.0,4.13,0.77
Nifty Next 50,ind_next50.pdf,Periodic Capped Free Float,50,"December 24, 1996","November 04, 1996",1000,Real-Time,Semi-Annually,2.24,2.02,2.02,16.37,15.64,2.33,2.90,2.90,17.30,,17.27,17.37,25.44,1.17,1.00,0.96,20.18,3.61,1.42
Nifty Next 50,ind_nifty50.pdf,Free Float Market Capitalization,51,"April 22, 1996","November 03, 1995",1000,Real-Time,Semi-Annually,6.17,10.51,10.51,13.32,11.42,6.33,11.88,11.88,14.68,12.94,11.76,13.95,22.55,1.00,1.00,1.00,22.75,3.55,1.28
Nifty 200,ind_nifty_200.pdf,Free Float Market Capitalization,201,"July 19, 2011","January 01, 2004",1000,Real-Time,Semi-Annually,5.78,8.40,8.40,14.98,12.93,5.92,9.57,9.57,16.21,14.42,12.89,14.33,20.97,1.06,1.01,0.98,23.77,3.69,1.21
Nifty Auto,ind_nifty_auto.pdf,Periodic Capped Free-Float,15,"July 12, 2011","January 01, 2004",1000,Real-Time,Semi - Annually,6.21,23.45,23.45,25.12,16.38,6.23,24.59,24.59,26.30,17.87,17.93,19.06,23.26,1.17,1.02,0.88,,,
Nifty Bank,ind_nifty_bank.pdf,Periodic Capped Free Float,14,"September 15, 2003","January 01, 2000",1000,Real-Time,Semi-Annually,9.05,17.15,17.15,13.77,17.01,9.05,18.08,18.08,14.61,18.52,12.47,17.86,28.15,0.92,1.11,1.09,16.4,2.19,0.98
Nifty Financial Services,ind_nifty_financial_services.pdf,Periodic Capped Free-Float,20,"September 07, 2011","January 01, 2004",1000,Real-Time,Semi - Annually,6.11,17.44,17.44,12.67,16.27,6.16,18.60,18.60,13.65,17.53,13.41,17.38,27.02,1.01,1.11,1.15,,,
Nifty FMCG,ind_nifty_fmcg.pdf,Periodic Capped Free Float,16,"September 22, 1999","January 01, 1996",1000,Real-Time,Semi-Annually,1.40,-2.33,-2.33,10.17,14.31,1.62,-0.43,-0.43,12.28,16.23,12.59,13.53,21.34,0.59,0.58,0.68,,,
Nifty Infrastructure,ind_nifty_infra.pdf,Periodic Capped Free Float,30,"August 07, 2007","January 01, 2004",1000,Real-Time,Semi-Annually,6.76,13.62,13.62,21.37,10.83,6.88,14.64,14.64,22.67,12.20,14.35,16.54,24.80,1.10,1.05,1.06,21.69,3.15,1.07
Nifty IT,ind_nifty_it.pdf,Periodic Capped Free Float,10,"Base Date January 01, 1996","January 01, 1996",100,Real-Time,Semi-Annually,12.57,-12.58,-12.58,9.33,21.87,13.43,-10.44,-10.44,11.53,,21.19,20.83,32.91,1.18,0.95,0.97,26.65,7.04,2.96
Nifty Midcap 50,ind_nifty_midcap50.pdf,Free Float Market Capitalization,50,Total Return 8.32 8.61 8.61 25.12 15.22,"January 01, 2004",1000,Real-Time,Semi-Annually,8.21,8.01,8.01,24.05,13.81,8.32,8.61,8.61,25.12,15.22,17.75,18.70,25.38,1.21,1.08,1.01,33.72,4.6,0.79
Nifty Midcap 150,ind_nifty_midcap_150.pdf,Free Float Market Capitalization,150,"April 01, 2016","April 01, 2005",1000,Real-Time,Semi-Annually,5.89,5.37,5.37,23.16,16.12,5.99,5.98,5.98,24.04,17.47,17.11,16.62,20.86,1.16,0.95,0.84,33.56,4.5,0.79
Nifty Smallcap 250,ind_nifty_smallcap_250.pdf,Free Float Market Capitalization,250,"April 01, 2016","April 01, 2005",1000,Real-Time,Semi-Annually,-0.05,-6.01,-6.01,22.39,14.52,0.04,-5.48,-5.48,23.31,15.85,19.12,18.28,21.54,1.18,0.93,0.80,29.38,3.56,0.72
Nifty Midcap 100,ind_niftymidcap100.pdf,Free Float Market Capitalization,100,"July 18, 2005","January 01, 2003",1000,Real-Time,Semi-Annually,7.00,5.74,5.74,23.75,19.51,7.10,6.36,6.36,24.68,21.11,17.95,17.81,21.64,1.22,1.02,0.87,33.84,4.39,0.79
Nifty Smallcap 100,ind_niftysmallcap100.pdf,Free Float Market Capitalization,100,"March 30, 2011","January 01, 2004",1000,Real-Time,Semi-Annually,0.86,-5.62,-5.62,20.11,13.95,0.95,-5.02,-5.02,21.08,15.28,20.39,19.67,23.15,1.27,1.01,0.86,32.18,3.83,0.75
